"counter","50001"
"коконыдва","1"
"бентонитовый","1"
"грантасостояние","1"
"ящер","1"
"банк","409"
"бензин","313"
"почтенный","1"
"туал","1"
"экспорт","2"
"березовская","2"
"значкизначок","2"
"роллетыавтоматический","1"
"панферов","2"
"имера","2"
"плиткатротуарный","1"
"тосно","3"
"раскол","3"
"диодовый","1"
"регионголд","2"
"учеба","35"
"туба","4"
"новыйдиван","1"
"тосна","3"
"аэродромный","2"
"дисбаланс","6"
"студентка","15"
"пусть","19"
"помещение","618"
"строчка","17"
"помещений","1"
"тагонрог","1"
"неподготовленный","1"
"новыесапожки","2"
"тува","1"
"доводочный","3"
"цептерва","1"
"технос","1"
"худить","12"
"бали","2"
"крепл","3"
"технон","1"
"балл","14"
"срабатывать","11"
"технод","1"
"гидрофобный","2"
"запядок","1"
"книгиалексей","1"
"баку","6"
"славия","1"
"уплотнитель","34"
"лицензирование","3"
"китаец","6"
"высылать+","1"
"нашивать","3"
"зарядкапродавать","3"
"ящик","256"
"карнеол","1"
"бакс","2"
"серфбордапродавать","1"
"сиденьемванночка","1"
"аймак","1"
"двухъярусный","19"
"честной","11"
"быстро","710"
"книжка","258"
"бамбукаабсолютно","1"
"бакк","1"
"кавать","2"
"ритмикитапочек","1"
"туриный","4"
"кожасумок","2"
"пиджакна","1"
"официантофициант","1"
"бакб","1"
"посекционный","1"
"олимпийк","6"
"байт","5"
"погладить","6"
"проставкановый","1"
"байк","16"
"чара","1"
"выпечка","19"
"мкппрено","1"
"туда","36"
"чарж","1"
"склеп","1"
"крейд","2"
"подстригать","2"
"тоска","1"
"автомагнитолаописание","1"
"эскулап","1"
"скаиол","2"
"искуственная","1"
"петефи","1"
"ожог","7"
"крейт","2"
"серьгикомплект","2"
"девочкиот","1"
"чары","1"
"небрежно","1"
"рисковать","6"
"рахматуллин","1"
"рулет","1"
"дороховаотдавать","1"
"младоросс","1"
"аллергический","5"
"судья","2"
"уоллс","1"
"пластмассовый","23"
"односпальный","15"
"животакорректирующий","1"
"чалда","1"
"часы","405"
"коммерческий","146"
"пренебрегать","1"
"сестренка","6"
"уверенно","28"
"ядовитый","2"
"кварцемновый","1"
"капитоний","1"
"база","307"
"оригиналшерстяной","1"
"надеяться","37"
"однотонный","35"
"сэндвичейтребоваться","1"
"прецизионный","4"
"девочкима","1"
"стометровка","1"
"иметь","970"
"председатель","5"
