"counter","49000"
"ящер","2"
"банк","562"
"бензин","158"
"почтенный","2"
"экспорт","7"
"огораживать","214"
"имера","2"
"выигрывать","19"
"мама","344"
"бьютя","12"
"оплод","3"
"тендерный","4"
"флегмона","2"
"тосно","2"
"надзорный","3"
"конализация","3"
"раскол","3"
"учеба","169"
"туба","7"
"снегоболотоход","3"
"древесина","58"
"юридический","584"
"мало","583"
"канцелярский","8"
"органный","2"
"аэродромный","6"
"дисбаланс","6"
"студентка","28"
"склиз","2"
"помещение","1682"
"чернореченский","4"
"полгода","54"
"энергоэффективный","13"
"строчка","7"
"котлетный","3"
"неподготовленный","2"
"ультратонкий","17"
"гидропривод","3"
"балт","2"
"разводня","5"
"худить","5"
"крепл","2"
"балл","40"
"металлург","14"
"срабатывать","16"
"щучий","8"
"баку","4"
"уплотнитель","23"
"лицензирование","11"
"китаец","21"
"верстак","25"
"гостиничный","43"
"нашивать","4"
"деловой","240"
"ящик","254"
"бакс","3"
"распаковываться","4"
"ботать","3"
"аймак","3"
"двухъярусный","17"
"честной","12"
"быстро","864"
"книжка","319"
"кавать","2"
"майл","4"
"туриный","2"
"туго","2"
"байт","6"
"погладить","9"
"двутавр","2"
"низкорослый","7"
"байк","39"
"опрятный","20"
"полюсный","3"
"приглашаться","3"
"чара","3"
"выпечка","70"
"восходовский","2"
"маис","2"
"склеп","2"
"подстригать","4"
"тоска","3"
"скаиол","3"
"силонга","2"
"твердотопливный","11"
"ожог","11"
"зажевать","3"
"гипрок","3"
"рогатый","14"
"малое","2"
"мускулатура","5"
"рисковать","13"
"рулет","3"
"аллергический","5"
"скрываться","7"
"кремль","21"
"судья","4"
"барный","58"
"пластмассовый","21"
"односпальный","15"
"часы","563"
"коммерческий","228"
"сестренка","11"
"уверенно","36"
"ядовитый","5"
"джойстик","175"
"база","753"
"надеяться","20"
"однотонный","16"
"перкинс","2"
"прецизионный","4"
"иметь","1411"
"председатель","9"
"тонарм","2"
"настурик","2"
"расположеный","2"
"бленда","48"
"боровский","3"
"непромакать","2"
"честность","37"
"опережение","6"
"действительный","106"
"послепродажный","3"
"черенок","43"
"дутик","3"
"частый","33"
"кипяток","2"
"вейкборд","6"
"сочок","5"
"базовский","8"
"техник","29"
"естественность","5"
"ориентированность","3"
"откатать","18"
"катушкодержатель","12"
"поднятие","18"
"тротуарный","38"
"велосервис","7"
"гидростатический","2"
"загораться","12"
"сочно","2"
"живородящий","5"
