"counter","50001"
"банк","414"
"бензин","316"
"экспорт","2"
"огораживать","120"
"имера","2"
"выигрывать","10"
"мама","220"
"бьютя","5"
"флегмона","2"
"тосно","3"
"раскол","3"
"учеба","36"
"туба","4"
"древесина","49"
"юридический","447"
"мало","681"
"канцелярский","3"
"аэродромный","2"
"дисбаланс","6"
"студентка","17"
"помещение","622"
"чернореченский","2"
"полгода","40"
"энергоэффективный","12"
"строчка","17"
"ультратонкий","14"
"доводочный","3"
"худить","14"
"крепл","3"
"балл","14"
"металлург","7"
"срабатывать","11"
"гидрофобный","2"
"баку","6"
"уплотнитель","34"
"лицензирование","3"
"китаец","7"
"верстак","6"
"гостиничный","18"
"нашивать","3"
"деловой","783"
"ящик","259"
"бакс","2"
"распаковываться","2"
"двухъярусный","21"
"честной","11"
"быстро","717"
"книжка","264"
"кавать","2"
"майл","2"
"туриный","4"
"олимпийк","3"
"байт","5"
"погладить","6"
"двутавр","2"
"низкорослый","4"
"байк","16"
"опрятный","13"
"полюсный","3"
"приглашаться","2"
"выпечка","19"
"подстригать","2"
"скаиол","2"
"твердотопливный","7"
"ожог","7"
"зажевать","3"
"гипрок","2"
"рогатый","3"
"малое","2"
"мускулатура","3"
"рисковать","6"
"аллергический","5"
"скрываться","6"
"кремль","17"
"судья","2"
"барный","25"
"пластмассовый","23"
"односпальный","15"
"часы","430"
"коммерческий","146"
"сестренка","6"
"уверенно","28"
"ядовитый","2"
"джойстик","51"
"база","310"
"надеяться","37"
"однотонный","35"
"прецизионный","4"
"иметь","971"
"председатель","5"
"тонарм","2"
"бленда","25"
"боровский","2"
"непромакать","4"
"честность","21"
"опережение","2"
"действительный","59"
"послепродажный","2"
"черенок","7"
"дутик","29"
"частый","20"
"промокаемость","2"
"базовский","5"
"усилок","3"
"непослушный","2"
"техник","17"
"естественность","6"
"откатать","20"
"катушкодержатель","2"
"поднятие","16"
"тротуарный","42"
"велосервис","3"
"гидростатический","2"
"загораться","6"
"камзапчастьавто","3"
"сочно","2"
"автокредит","22"
"малиб","2"
"молотый","4"
"склад","1484"
"ноябрь","50"
"металлодетектор","2"
"претензия","26"
"тяжеловесный","4"
"ласси","3"
"многоконтурный","2"
"усилие","76"
"западать","5"
"разочарование","5"
"портативный","57"
"выключаться","7"
"маловат","43"
"вензель","3"
"эмират","8"
"течка","2"
"пинеточка","5"
"корекция","2"
"дисторшн","2"
"травление","2"
"стринг","6"
"беленый","11"
"бава","4"
"кварцевый","69"
"опорный","51"
"чаша","26"
"утеплитель","366"
"канапе","2"
"турнир","7"
"турник","21"
"малек","7"
"энергетический","12"
"ацтек","2"
"охлаждение","234"
"ультралайт","2"
"подготавливать","6"
"пусет","3"
"чувство","22"
"мотрасома","2"
"гидрик","2"
"романтический","10"
"сингониум","5"
"прялка","2"
"гражданство","20"
"сокращение","7"
"разводка","78"
"слабый","21"
"консультировать","10"
"охлажденка","2"
"мембрана","171"
"малиновый","31"
"иногда","35"
"тупо","3"
"трещать","3"
"семплов","2"
"писец","8"
"росстат","2"
"флюид","2"
"влечь","2"
"затирка","6"
"бедный","3"
"подпалый","3"
"послужить","25"
